round,policy,microseconds,status
108,mapped,92.291,compensated
108,value,79.042,compensated
108,deny,42.583,denied
108,object,68.417,compensated
108,undoscope,64.875,compensated
108,snapshot,70.375,compensated
109,snapshot,65.916,compensated
109,undoscope,60.125,compensated
109,value,66.5,compensated
109,field,65.625,compensated
109,object,62.125,compensated
109,deny,48.916,denied
109,mapped,60.917,compensated
110,snapshot,68.5,compensated
110,deny,56.75,denied
110,value,76.291,compensated
110,mapped,65.792,compensated
110,field,62.041,compensated
110,undoscope,65.959,compensated
110,object,60.333,compensated
111,snapshot,72.208,compensated
111,deny,46.458,denied
111,value,572.583,compensated
111,field,73.625,compensated
111,undoscope,77.167,compensated
111,mapped,66.25,compensated
111,object,75.0,compensated
112,undoscope,74.25,compensated
112,object,85.209,compensated
112,deny,42.417,denied
112,mapped,66.209,compensated
112,value,62.75,compensated
112,snapshot,195.084,compensated
112,field,67.958,compensated
113,field,107.0,compensated
113,snapshot,143.958,compensated
113,undoscope,64.625,compensated
113,deny,57.208,denied
113,object,82.25,compensated
113,value,66.666,compensated
113,mapped,83.5,compensated
114,field,74.416,compensated
114,value,62.417,compensated
114,mapped,63.709,compensated
114,undoscope,72.209,compensated
114,deny,50.708,denied
114,snapshot,69.416,compensated
114,object,69.958,compensated
115,snapshot,73.917,compensated
115,undoscope,66.083,compensated
115,field,67.583,compensated
115,object,67.041,compensated
115,value,65.167,compensated
115,mapped,69.834,compensated
115,deny,56.875,denied
116,snapshot,72.458,compensated
116,value,65.167,compensated
116,undoscope,59.333,compensated
116,mapped,60.042,compensated
116,object,58.417,compensated
116,deny,50.125,denied
116,field,67.625,compensated
117,undoscope,59.417,compensated
117,value,64.209,compensated
117,snapshot,59.916,compensated
117,object,57.958,compensated
117,mapped,61.416,compensated
117,field,65.333,compensated
117,deny,40.625,denied
118,deny,47.0,denied
118,object,61.375,compensated
118,field,64.833,compensated
118,undoscope,57.667,compensated
118,snapshot,66.209,compensated
118,mapped,62.042,compensated
118,value,63.208,compensated
119,mapped,65.25,compensated
119,snapshot,68.458,compensated
119,object,59.459,compensated
